;sc;MSC;COU;HAK;RSC;BAR;FRE;FIS;BUT;SAL;IRV;WUR;TRU;DIN;ALE;DLR;VIL;HER;ZON;HEI;VER;GEN;MAZ
43;0;2;3;1;5;4;6;ab;7;9;8;10;12;11;ab;19;15;13;16;ab;14;17;18
44;0;2;3;1;5;4;6;ab;7;9;8;11;12;10;ab;19;15;13;16;ab;14;17;18
45;0;2;3;1;5;4;6;ab;7;10;8;12;11;9;ab;19;15;13;16;ab;14;17;18
46;0;2;3;1;5;4;6;ab;7;11;8;12;10;9;ab;19;14;13;16;ab;15;17;18
47;0;2;3;1;4;5;6;ab;7;11;8;12;10;9;ab;19;14;13;15;ab;16;17;18
48;0;2;3;1;4;5;6;ab;7;11;8;12;10;9;ab;19;13;14;15;ab;16;17;18
49;0;3;2;1;4;5;6;ab;7;11;9;12;10;8;ab;19;13;14;15;ab;16;17;18
50;0;3;2;1;6;4;5;ab;7;11;10;12;9;8;ab;19;14;13;16;ab;15;18;17
51;0;2;3;1;6;4;5;ab;7;11;10;12;9;8;ab;19;14;13;16;ab;15;18;17
52;0;2;3;1;6;4;5;ab;7;11;10;12;9;8;ab;19;14;13;16;ab;15;17;18
53;0;2;3;1;6;4;5;ab;7;11;10;12;9;8;ab;19;14;13;16;ab;15;17;18
54;0;2;3;1;6;4;5;ab;7;11;10;12;8;9;ab;19;14;13;16;ab;15;17;18
55;0;2;3;1;6;4;5;ab;7;11;10;12;8;9;ab;19;14;13;16;ab;15;17;18
56;0;2;3;1;5;4;6;ab;7;11;10;12;8;9;ab;19;14;13;16;ab;15;17;18
57;0;2;3;1;5;4;6;ab;7;11;10;12;8;9;ab;19;14;13;16;ab;15;17;18
58;0;2;3;1;5;4;6;ab;7;11;10;12;8;9;ab;19;13;14;16;ab;15;17;18
59;0;2;3;1;5;4;6;ab;7;11;10;12;8;9;ab;19;13;14;16;ab;15;17;18
60;0;2;3;1;5;4;6;ab;7;11;10;12;8;9;ab;19;13;14;16;ab;15;17;18
61;0;2;3;1;5;4;6;ab;7;11;10;12;8;9;ab;19;13;14;16;ab;15;17;18
62;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;18;12;13;15;ab;14;16;17
63;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;18;12;13;15;ab;14;16;17
64;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;18;12;13;15;ab;14;16;17
65;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;18;12;13;15;ab;14;16;17
66;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;18;12;14;15;ab;13;16;17
67;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;17;12;ab;14;ab;13;15;16
68;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;16;12;ab;14;ab;13;15;ab
69;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;16;12;ab;14;ab;13;15;ab
70;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;16;12;ab;14;ab;13;15;ab
71;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;16;12;ab;14;ab;13;15;ab
72;0;2;3;1;5;4;6;ab;7;10;9;11;8;ab;ab;16;12;ab;14;ab;13;15;ab
73;0;2;3;1;5;4;6;ab;8;10;9;11;7;ab;ab;16;12;ab;14;ab;13;15;ab
74;0;2;3;1;5;4;6;ab;9;10;8;11;7;ab;ab;16;12;ab;14;ab;13;15;ab
75;0;2;3;1;5;4;6;ab;9;10;8;11;7;ab;ab;16;12;ab;14;ab;13;15;ab
76;0;2;3;1;5;4;6;ab;9;10;8;11;7;ab;ab;16;12;ab;14;ab;13;15;ab
