;sc;HAK;COU;MSC;BAR;FRE;TRU;IRV;VIL;FIS;SAL;RSC;DLR;VER;WUR;HEI;ZON;ALE;GEN;DIN;HER;BUT;MAZ
47;0;ab;ab;1;2;ab;ab;ab;4;5;7;3;ab;ab;8;10;6;ab;9;ab;ab;ab;ab
48;0;ab;ab;1;2;ab;ab;ab;4;5;7;3;ab;ab;8;10;6;ab;9;ab;ab;ab;ab
49;0;ab;ab;1;2;ab;ab;ab;4;5;6;3;ab;ab;8;10;7;ab;9;ab;ab;ab;ab
50;0;ab;ab;1;2;ab;ab;ab;4;5;6;3;ab;ab;8;10;7;ab;9;ab;ab;ab;ab
51;0;ab;ab;1;2;ab;ab;ab;4;5;6;3;ab;ab;8;10;7;ab;9;ab;ab;ab;ab
52;0;ab;ab;1;2;ab;ab;ab;4;5;6;3;ab;ab;8;10;7;ab;9;ab;ab;ab;ab
53;0;ab;ab;1;2;ab;ab;ab;4;5;6;3;ab;ab;8;10;7;ab;9;ab;ab;ab;ab
54;0;ab;ab;1;2;ab;ab;ab;4;5;6;3;ab;ab;8;10;7;ab;9;ab;ab;ab;ab
55;0;ab;ab;1;2;ab;ab;ab;4;5;6;3;ab;ab;8;10;7;ab;9;ab;ab;ab;ab
56;0;ab;ab;1;2;ab;ab;ab;4;5;6;3;ab;ab;8;9;7;ab;9;ab;ab;ab;ab
57;0;ab;ab;1;2;ab;ab;ab;4;5;6;3;ab;ab;8;9;7;ab;8;ab;ab;ab;ab
