;sc;VET;WEB;KOB;GRO;PER;ALO;RAI;BUT;HAM;MAS;DRE;MAL;ROS;RIC;HUL;SEN;KOV;GLO;VER;DLR;PIC;PET;MSC;KAR
23;0;1;9;3;18;ab;ab;5;4;6;2;11;8;ab;10;7;15;13;16;14;20;17;19;12;21
24;0;1;9;3;18;ab;ab;5;4;6;2;11;8;ab;10;7;15;14;16;13;20;17;19;12;21
25;0;1;10;3;17;ab;ab;5;4;6;2;11;8;ab;9;7;15;14;16;13;20;18;19;12;21
26;0;1;12;3;17;ab;ab;5;4;6;2;11;8;ab;9;7;14;15;16;13;20;18;19;10;21
27;0;1;12;3;17;ab;ab;5;4;6;2;11;8;ab;9;7;14;15;16;13;20;18;19;10;21
28;0;1;12;3;17;ab;ab;5;4;6;2;11;8;ab;9;7;14;15;16;13;20;18;19;10;21
29;0;1;12;3;16;ab;ab;6;4;5;2;11;8;ab;9;7;14;15;17;13;20;18;19;10;21
30;0;1;12;4;16;ab;ab;9;3;5;2;11;7;ab;8;6;14;15;17;13;20;19;18;10;21
31;0;1;11;5;16;ab;ab;8;3;7;2;12;4;ab;6;9;14;15;17;13;19;21;18;10;20
32;0;1;11;5;16;ab;ab;8;3;7;2;14;4;ab;6;9;13;15;17;12;19;20;18;10;ab
33;0;1;11;4;16;ab;ab;7;3;5;2;14;9;ab;6;8;13;15;17;12;19;20;18;10;ab
34;0;1;10;4;15;ab;ab;6;3;5;2;13;8;ab;11;7;16;14;17;12;19;20;18;9;ab
35;0;1;10;3;14;ab;ab;6;4;5;2;12;8;ab;11;7;15;16;17;13;19;20;18;9;ab
36;0;1;9;3;14;ab;ab;6;4;5;2;12;8;ab;10;7;15;16;17;13;19;20;18;11;ab
37;0;1;9;3;14;ab;ab;6;4;5;2;12;8;ab;10;7;15;16;17;13;19;ab;18;11;ab
38;0;1;9;3;14;ab;ab;6;4;5;2;12;8;ab;10;7;15;16;17;13;19;ab;18;11;ab
39;0;1;9;3;14;ab;ab;6;4;5;2;12;8;ab;10;7;15;16;17;13;19;ab;18;11;ab
40;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
41;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
42;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
43;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
44;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
45;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
46;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
47;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
48;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
49;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
50;0;1;9;3;15;ab;ab;6;4;5;2;12;8;ab;10;7;14;16;17;13;19;ab;18;11;ab
51;0;1;9;3;19;ab;ab;6;4;5;2;12;8;ab;10;7;14;15;16;13;18;ab;17;11;ab
52;0;1;9;3;19;ab;ab;6;4;5;2;12;8;ab;10;7;14;15;16;13;18;ab;17;11;ab
