;sc;ALO;VET;MSC;HUL;MAL;BUT;HAM;WEB;DRE;RAI;RIC;KOB;MAS;SEN;VER;KOV;PER;PET;GRO;PIC;ROS;GLO;DLR;KAR
48;0;1;3;5;11;13;2;16;9;10;4;12;6;14;19;15;18;7;17;20;21;8;22;23;24
49;0;1;3;5;10;13;2;16;9;11;4;12;6;14;19;15;18;7;17;20;21;8;22;23;24
50;0;1;3;5;9;13;2;16;8;10;4;12;6;14;19;15;17;7;18;20;21;11;22;23;24
51;0;1;3;5;9;13;2;16;8;10;4;12;6;14;19;15;17;7;18;20;21;11;22;23;24
52;0;1;3;7;9;13;2;16;8;10;4;12;5;14;18;15;19;6;17;20;21;11;22;23;24
53;0;1;3;7;9;14;2;16;8;10;4;12;5;13;18;15;20;6;17;19;21;11;22;23;24
54;0;1;3;7;9;14;2;16;8;10;4;12;5;13;18;15;20;6;17;19;21;11;22;23;24
55;0;1;3;7;9;15;2;16;8;11;4;12;5;13;18;14;20;6;17;19;21;10;22;23;24
56;0;1;3;7;9;15;2;ab;8;11;4;12;5;13;17;14;19;6;16;18;20;10;21;22;23
57;0;1;3;7;9;15;2;ab;8;11;4;12;5;13;17;14;19;6;16;18;20;10;21;22;23
58;0;1;3;7;9;15;2;ab;8;11;4;12;5;13;17;14;19;6;16;18;20;10;21;22;23
59;0;1;3;7;9;15;2;ab;8;11;4;12;5;13;17;14;19;6;16;18;20;10;22;21;23
60;0;1;3;7;9;15;2;ab;8;11;4;12;5;13;17;14;19;6;16;18;20;10;22;21;23
61;0;1;3;7;9;15;2;ab;8;11;4;12;5;13;17;14;19;6;16;18;20;10;22;21;23
62;0;1;3;7;9;15;2;ab;8;11;4;12;5;13;17;14;19;6;16;18;20;10;22;21;23
63;0;1;3;7;9;15;2;ab;8;11;4;12;5;13;17;14;19;6;16;18;20;10;22;21;23
64;0;1;3;7;9;15;2;ab;8;11;4;12;5;13;17;14;19;6;16;18;20;10;22;21;23
65;0;1;2;7;9;15;3;ab;8;11;4;13;5;12;17;14;19;6;16;18;20;10;22;21;23
66;0;1;2;7;9;15;3;ab;8;11;4;13;5;12;17;14;19;6;16;18;20;10;22;21;23
