;sc;HAM;BUT;MAS;MSC;VET;ROS;RAI;KOB;DRE;ALO;WEB;PER;SEN;RIC;DAM;VER;KOV;PET;GLO;PIC;KAR;MAL;DLR;HUL
18;0;1;2;5;13;3;16;14;8;9;4;7;6;10;11;15;ab;20;18;23;22;19;17;21;12
19;0;1;2;11;13;3;16;14;10;7;4;6;5;8;9;15;ab;18;20;23;22;19;17;21;12
20;0;1;2;8;12;9;15;13;16;7;10;4;3;5;6;14;ab;18;20;23;22;19;17;21;11
21;0;1;2;5;10;6;13;11;16;15;7;14;3;4;8;12;ab;18;19;23;21;20;17;22;9
22;0;1;3;4;9;5;12;11;16;15;6;13;2;7;8;14;ab;18;19;22;21;20;17;23;10
23;0;2;3;4;7;5;12;9;16;15;6;13;1;11;10;14;ab;18;19;21;20;23;17;22;8
24;0;2;3;4;7;5;10;8;14;12;6;11;1;17;16;13;ab;18;19;21;20;23;15;22;9
25;0;2;3;4;7;5;10;8;13;12;6;11;1;17;16;15;ab;18;19;21;20;23;14;22;9
26;0;2;3;4;7;5;9;8;13;12;6;11;1;16;15;17;ab;18;19;21;20;23;14;22;10
27;0;2;3;4;7;5;9;8;12;11;6;10;1;15;14;19;ab;17;18;21;20;23;13;22;16
28;0;1;3;4;7;6;9;8;12;11;5;10;2;15;14;19;ab;17;18;21;20;23;13;22;16
29;0;1;2;3;6;5;9;7;12;11;4;10;8;15;14;19;ab;17;18;21;20;23;13;22;16
30;0;1;2;3;6;5;9;7;12;11;4;10;8;15;14;19;ab;17;18;21;20;23;13;22;16
31;0;1;2;3;6;5;9;7;12;11;4;10;8;15;14;19;ab;17;18;21;20;23;13;22;16
32;0;1;ab;2;5;4;8;6;11;10;3;9;7;14;13;18;ab;16;17;20;19;22;12;21;15
33;0;1;ab;2;5;4;8;6;11;10;3;9;7;14;13;18;ab;16;17;20;19;22;12;21;15
34;0;1;ab;2;4;9;7;5;11;10;3;8;6;14;13;18;ab;16;17;20;19;22;12;21;15
35;0;1;ab;2;4;9;7;5;11;10;3;8;6;13;12;18;ab;16;17;20;19;22;15;21;14
36;0;1;ab;2;5;9;7;6;11;10;3;8;4;13;12;17;ab;16;18;20;19;22;15;21;14
37;0;1;ab;2;11;7;6;5;10;9;3;8;4;13;12;16;ab;17;18;20;19;22;15;21;14
38;0;1;ab;2;10;6;13;5;9;8;3;7;4;12;11;16;ab;18;17;20;19;22;15;21;14
39;0;1;ab;3;10;6;12;5;9;8;2;7;4;13;11;16;ab;18;17;20;19;22;15;21;14
40;0;1;ab;3;10;6;12;5;9;8;2;7;4;13;11;16;ab;17;18;20;19;22;15;21;14
41;0;1;ab;3;10;6;12;5;9;8;2;7;4;13;11;16;ab;17;18;20;19;22;15;21;14
42;0;1;ab;4;10;6;11;5;9;8;2;7;3;13;12;16;ab;17;18;20;19;22;15;21;14
43;0;1;ab;4;9;6;11;5;10;8;2;7;3;13;12;16;ab;17;18;20;19;22;15;21;14
44;0;1;ab;4;9;6;11;5;10;8;2;7;3;13;12;16;ab;17;18;20;19;22;15;21;14
45;0;1;ab;4;9;6;11;5;10;8;3;7;2;13;12;16;ab;17;18;20;19;22;15;21;14
46;0;1;ab;4;8;6;10;5;11;9;3;7;2;13;12;16;ab;17;18;20;19;22;15;21;14
47;0;1;ab;4;7;22;9;5;10;8;3;6;2;12;11;15;ab;16;17;19;18;21;14;20;13
48;0;1;ab;4;6;22;9;5;10;8;3;7;2;12;11;15;ab;16;17;19;18;21;14;20;13
49;0;1;ab;4;6;22;7;5;9;8;3;10;2;12;11;15;ab;16;17;19;18;21;13;20;14
50;0;1;ab;4;6;22;7;5;9;8;3;14;2;11;10;13;ab;15;16;18;17;20;12;19;21
51;0;1;ab;4;6;22;7;5;9;8;3;20;2;11;10;13;ab;14;15;17;16;19;12;18;21
52;0;1;ab;4;6;22;7;5;9;8;3;20;2;10;12;13;ab;14;15;17;16;19;11;18;21
