;sc;VET;HAM;MAL;GRO;RAI;ROS;KOB;HUL;BUT;DRE;ALO;MSC;MAS;SEN;PER;KOV;RIC;VER;WEB;PET;DLR;KAR;PIC;GLO
32;1;1;6;10;2;5;8;13;11;15;12;3;7;14;21;16;20;4;ab;9;17;18;22;19;np
33;0;ab;4;8;2;5;11;ab;9;12;10;1;6;20;18;13;17;3;ab;7;14;15;19;16;np
34;0;ab;3;8;2;4;12;ab;9;11;10;1;6;20;17;13;18;5;ab;7;14;15;19;16;np
35;0;ab;3;8;2;4;13;ab;9;11;10;1;6;20;16;12;18;5;ab;7;14;15;19;17;np
36;0;ab;3;6;2;4;12;ab;7;10;9;1;5;20;15;11;17;14;ab;8;13;16;19;18;np
37;0;ab;3;6;2;4;11;ab;7;9;8;1;5;20;15;10;16;14;ab;13;12;17;19;18;np
38;0;ab;3;6;2;4;11;ab;7;9;8;1;5;20;15;10;16;14;ab;13;12;17;19;18;np
39;0;ab;3;6;2;4;11;ab;7;9;8;1;5;19;15;10;16;14;ab;13;12;17;20;18;np
40;0;ab;2;4;ab;3;9;ab;5;8;6;1;11;18;14;7;15;13;ab;12;10;16;19;17;np
41;0;ab;2;4;ab;3;9;ab;5;8;6;1;11;18;14;7;15;13;ab;12;10;16;19;17;np
42;0;ab;2;4;ab;3;9;ab;5;8;6;1;11;18;14;7;15;13;ab;12;10;16;19;17;np
43;0;ab;2;4;ab;3;9;ab;5;8;6;1;11;18;14;7;15;13;ab;12;10;16;19;17;np
44;0;ab;2;4;ab;3;9;ab;5;8;6;1;10;18;14;7;15;13;ab;11;12;16;19;17;np
45;0;ab;2;4;ab;3;13;ab;5;8;6;1;9;18;14;7;15;12;ab;10;11;16;19;17;np
46;0;ab;2;4;ab;3;12;ab;5;8;6;1;9;18;11;7;14;13;ab;10;15;16;19;17;np
47;0;ab;2;4;ab;3;12;ab;5;8;6;1;9;17;11;7;14;13;ab;10;18;15;19;16;np
48;0;ab;2;4;ab;3;11;ab;5;10;6;1;8;15;12;7;14;13;ab;9;17;18;19;16;np
49;0;ab;2;4;ab;3;11;ab;5;10;6;1;8;15;12;7;14;13;ab;9;16;18;19;17;np
50;0;ab;2;4;ab;3;11;ab;5;10;6;1;8;15;12;7;14;13;ab;9;16;18;19;17;np
51;0;ab;2;4;ab;3;11;ab;5;10;6;1;8;16;12;7;14;13;ab;9;15;18;19;17;np
52;0;ab;2;4;ab;3;11;ab;5;10;6;1;7;18;12;9;14;13;ab;8;15;17;19;16;np
53;0;ab;2;4;ab;3;11;ab;5;10;8;1;6;18;12;9;14;13;ab;7;15;17;19;16;np
54;0;ab;4;3;ab;2;11;ab;5;10;8;1;6;17;12;9;15;13;ab;7;14;18;19;16;np
55;0;ab;19;7;ab;2;8;ab;5;10;6;1;3;16;11;9;14;12;ab;4;13;17;18;15;np
56;0;ab;19;10;ab;2;6;ab;5;8;7;1;3;16;11;9;14;12;ab;4;13;17;18;15;np
