;sc;LEC;SAI;PER;VER;NOR;RUS;ALO;HAM;VET;OCO;TSU;BOT;MAG;RIC;MSC;ALB;GAS;STR;LAT;ZHO
45;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
46;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
47;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;18;12;14;17;16
48;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;ab;12;14;16;17
49;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;ab;12;14;16;17
50;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;ab;12;14;16;17
51;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;ab;12;14;16;17
52;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;ab;12;14;16;17
53;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;ab;12;14;16;17
54;0;4;2;1;3;6;5;7;8;11;9;15;10;ab;13;ab;ab;12;14;16;17
55;0;4;2;1;3;6;5;7;8;11;9;17;10;ab;13;ab;ab;12;14;15;16
56;0;4;2;1;3;6;5;7;8;11;9;17;10;ab;13;ab;ab;12;14;15;16
57;0;4;2;1;3;6;5;7;8;11;9;17;10;ab;13;ab;ab;12;14;15;16
58;0;4;2;1;3;6;5;7;8;11;9;17;10;ab;13;ab;ab;12;14;15;16
59;0;4;2;1;3;6;5;7;8;11;9;17;10;ab;13;ab;ab;12;14;15;16
60;0;4;2;1;3;6;5;7;8;11;9;17;10;ab;13;ab;ab;12;14;15;16
61;0;4;2;1;3;6;5;7;8;11;9;17;10;ab;13;ab;ab;12;14;15;16
62;0;4;2;1;3;6;5;7;8;11;9;17;10;ab;13;ab;ab;12;14;15;16
63;0;4;2;1;3;6;5;7;8;11;9;17;10;ab;13;ab;ab;12;14;15;16
