;sc;HAM;VET;BOT;RAI;VER;RIC;ALO;PER;MAS;OCO;MAG;SAI;HUL;GRO;WEH;ERI;PAL;STR;KVY;VAN
20;0;1;3;2;ab;ab;4;13;5;18;7;9;10;8;11;6;15;17;14;12;16
21;0;3;2;1;ab;ab;4;13;5;17;7;9;10;8;11;6;15;18;14;12;16
22;0;3;2;1;ab;ab;4;13;5;17;6;9;10;8;11;7;15;18;14;12;16
23;0;3;2;1;ab;ab;4;13;5;17;6;9;10;8;11;7;15;18;14;12;16
24;0;3;1;2;ab;ab;4;13;5;17;6;9;10;8;11;7;14;18;15;12;16
25;0;2;1;3;ab;ab;4;13;5;17;6;9;10;8;11;7;14;18;15;12;16
26;0;2;1;3;ab;ab;4;13;5;17;6;9;10;8;11;7;14;18;15;12;16
27;0;2;1;3;ab;ab;4;14;5;17;6;9;10;8;11;7;13;18;15;12;16
28;0;2;1;3;ab;ab;4;14;5;17;6;9;10;8;11;7;13;18;15;12;16
29;0;2;1;3;ab;ab;4;14;5;17;6;9;10;8;11;7;13;18;15;12;16
30;0;2;1;3;ab;ab;4;15;5;17;6;9;10;8;11;7;13;18;14;12;16
31;0;2;1;3;ab;ab;4;17;5;16;6;9;10;8;11;7;13;18;14;12;15
32;0;2;1;3;ab;ab;4;16;5;14;6;9;10;8;11;7;15;17;13;12;ab
33;1;2;1;3;ab;ab;4;15;5;16;6;11;7;9;8;10;14;17;13;12;ab
34;1;2;1;3;ab;ab;4;15;5;16;6;10;9;7;11;8;14;17;13;12;ab
35;1;2;1;3;ab;ab;4;15;5;16;6;10;9;7;11;8;14;17;13;12;ab
36;1;2;1;3;ab;ab;4;15;5;16;6;10;9;7;11;8;14;17;13;12;ab
37;0;2;1;3;ab;ab;4;15;5;16;6;10;9;7;11;8;14;17;13;12;ab
38;0;2;1;ab;ab;ab;3;14;4;15;5;9;8;6;10;7;13;16;12;11;ab
39;0;2;1;ab;ab;ab;3;14;4;15;5;9;8;6;10;7;13;16;12;11;ab
40;0;2;1;ab;ab;ab;3;14;4;15;5;9;8;6;10;7;13;16;12;11;ab
41;0;2;1;ab;ab;ab;3;14;4;15;5;9;8;6;10;7;13;16;12;11;ab
42;0;2;1;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;13;16;12;10;ab
43;0;1;2;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;13;16;12;10;ab
44;0;1;2;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;13;16;12;10;ab
45;0;1;2;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;13;16;12;10;ab
46;0;1;2;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;13;16;12;10;ab
47;0;1;2;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;13;16;12;10;ab
48;0;1;2;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;13;16;12;10;ab
49;0;1;2;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;13;16;12;10;ab
50;0;1;2;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;13;16;12;10;ab
51;0;1;2;ab;ab;ab;3;15;4;14;5;9;8;6;11;7;13;16;12;10;ab
52;0;1;2;ab;ab;ab;3;15;4;14;5;9;8;6;11;7;12;16;13;10;ab
53;0;1;2;ab;ab;ab;3;15;4;14;5;9;8;6;11;7;12;16;13;10;ab
54;0;1;2;ab;ab;ab;3;15;4;14;5;9;8;6;11;7;12;16;13;10;ab
55;0;1;2;ab;ab;ab;3;15;4;14;5;9;8;6;11;7;12;16;13;10;ab
56;0;1;2;ab;ab;ab;3;15;4;14;5;9;8;6;11;7;12;16;13;10;ab
57;0;1;2;ab;ab;ab;3;15;4;14;5;9;8;6;11;7;12;16;13;10;ab
58;0;1;2;ab;ab;ab;3;14;4;15;5;9;8;6;11;7;12;16;13;10;ab
59;0;1;2;ab;ab;ab;3;13;4;15;5;9;8;6;11;7;12;16;14;10;ab
60;0;1;2;ab;ab;ab;3;13;4;15;5;9;8;6;11;7;12;16;14;10;ab
61;0;1;2;ab;ab;ab;3;13;4;15;5;9;8;6;11;7;12;16;14;10;ab
62;0;1;2;ab;ab;ab;3;13;4;14;5;11;8;6;10;7;12;16;15;9;ab
63;0;1;2;ab;ab;ab;3;12;4;13;5;14;8;6;10;7;11;15;16;9;ab
64;0;1;2;ab;ab;ab;3;12;4;13;5;14;8;6;10;7;11;15;16;9;ab
65;0;1;2;ab;ab;ab;3;12;4;13;5;14;7;6;10;8;11;15;16;9;ab
