;sc;VET;MAS;ALO;HAM;ROS;WEB;MSC;BUT;KUB;SUT;BAR;LIU;HUL;DLR;BUE;KOB;PET;ALG;GLO;TRU;KOV;DGR;SEN;CHA
16;0;1;2;3;6;7;10;8;9;13;15;5;4;16;12;11;ab;ab;14;ab;18;17;ab;19;ab
17;0;1;3;2;6;7;10;8;9;13;15;5;4;16;12;11;ab;ab;14;ab;18;17;ab;ab;ab
18;0;1;3;2;5;6;10;8;9;13;15;7;4;16;12;11;ab;ab;14;ab;18;17;ab;ab;ab
19;0;1;3;2;4;6;9;7;8;13;15;11;5;16;12;10;ab;ab;14;ab;18;17;ab;ab;ab
20;0;1;3;2;4;5;8;6;7;13;15;11;10;16;12;9;ab;ab;14;ab;18;17;ab;ab;ab
21;0;1;3;2;4;5;8;6;7;13;15;11;9;16;12;10;ab;ab;14;ab;18;17;ab;ab;ab
22;0;1;3;2;4;5;8;6;7;13;15;10;9;16;12;11;ab;ab;14;ab;18;17;ab;ab;ab
23;0;1;3;2;4;5;8;6;7;12;15;10;9;16;13;11;ab;ab;14;ab;18;17;ab;ab;ab
24;0;1;3;2;4;5;8;6;7;11;15;10;9;16;12;14;ab;ab;13;ab;18;17;ab;ab;ab
25;0;1;3;2;4;5;8;6;7;11;14;10;9;16;12;15;ab;ab;13;ab;18;17;ab;ab;ab
26;0;1;3;2;4;5;8;6;7;11;13;10;9;16;12;15;ab;ab;14;ab;18;17;ab;ab;ab
27;0;1;3;2;4;5;8;6;7;11;13;10;9;16;12;15;ab;ab;14;ab;18;17;ab;ab;ab
28;0;1;3;2;4;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;17;16;ab;ab;ab
29;0;1;3;2;4;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;17;16;ab;ab;ab
30;0;1;3;2;4;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
31;0;1;3;2;4;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
32;0;1;3;2;4;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
33;0;2;3;1;4;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
34;0;3;2;1;4;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
35;0;3;2;1;4;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
36;0;3;2;1;4;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
37;0;4;2;1;3;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
38;0;4;2;1;3;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
39;0;4;2;1;3;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;16;17;ab;ab;ab
40;0;4;2;1;3;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;17;16;ab;ab;ab
41;0;4;2;1;3;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;17;16;ab;ab;ab
42;0;4;2;1;3;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;17;16;ab;ab;ab
43;0;4;2;1;3;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;17;16;ab;ab;ab
44;0;4;2;1;3;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;17;16;ab;ab;ab
45;0;4;2;1;3;5;8;6;7;11;12;10;9;15;ab;14;ab;ab;13;ab;17;16;ab;ab;ab
46;0;4;2;1;3;5;8;6;7;11;12;10;9;14;ab;16;ab;ab;13;ab;17;15;ab;ab;ab
47;0;4;2;1;3;5;8;6;7;11;12;10;9;14;ab;16;ab;ab;13;ab;17;15;ab;ab;ab
48;0;4;2;1;3;5;8;6;7;11;12;10;9;14;ab;16;ab;ab;13;ab;17;15;ab;ab;ab
