;sc;VET;HAM;ALO;BUT;WEB;MAS;BAR;MSC;ROS;PET;KUB;KOB;SUT;HEI;HUL;LIU;ALG;BUE;TRU;KOV;GLO;DGR;SEN;KLI
27;0;2;4;11;1;12;14;16;ab;8;10;3;5;6;15;9;ab;13;7;19;17;18;20;21;22
28;0;2;4;11;1;12;14;16;ab;8;10;3;5;6;15;9;ab;13;7;22;17;18;19;20;21
29;0;2;4;11;1;12;14;16;ab;8;10;3;5;6;15;9;ab;13;7;22;17;18;19;20;21
30;0;2;4;11;1;12;14;16;ab;8;10;3;5;6;15;9;ab;13;7;22;17;18;19;20;21
31;0;2;4;11;1;12;14;16;ab;8;10;3;5;6;15;9;ab;13;7;22;17;18;19;20;21
32;0;2;4;11;1;12;14;16;ab;8;10;3;6;5;15;9;ab;13;7;22;17;18;19;20;21
33;0;2;4;10;1;11;13;15;ab;7;9;3;16;5;14;8;ab;12;6;22;17;18;19;20;21
34;0;2;4;10;1;11;13;15;ab;7;9;3;16;5;14;8;ab;12;6;22;17;18;19;20;21
35;0;2;4;9;1;11;13;15;ab;7;8;3;16;5;14;10;ab;12;6;22;17;18;19;20;21
36;0;2;4;9;1;10;12;14;ab;6;8;3;15;5;13;16;ab;11;7;22;17;18;19;20;21
37;0;2;4;8;1;9;11;13;ab;6;7;3;14;5;12;16;ab;10;15;22;17;18;19;20;21
38;0;2;4;8;1;9;11;13;ab;6;7;3;14;5;12;16;ab;10;15;22;17;18;19;20;21
39;0;1;3;8;4;9;11;13;ab;6;7;2;14;5;12;16;ab;10;15;22;17;18;19;20;21
40;0;1;3;8;4;9;11;13;ab;6;7;2;14;5;12;16;ab;10;15;22;17;18;19;20;21
41;0;1;3;8;4;9;11;13;ab;6;7;2;14;5;12;16;ab;10;15;22;17;18;19;20;21
42;0;1;3;8;4;9;11;13;ab;6;7;2;14;5;12;16;ab;10;15;22;17;18;19;20;21
43;0;1;3;8;4;9;11;13;ab;6;7;2;14;5;12;16;ab;10;15;21;17;ab;18;19;20
44;0;1;3;8;4;9;11;13;ab;6;7;2;14;5;12;16;ab;10;15;21;17;ab;18;19;20
45;0;1;2;8;4;9;11;13;ab;6;7;3;14;5;12;16;ab;10;15;21;17;ab;18;19;20
46;0;1;2;8;3;9;11;13;ab;5;7;6;14;4;12;16;ab;10;15;21;17;ab;18;19;20
47;0;1;2;7;3;8;10;12;ab;4;6;5;14;13;11;16;ab;9;15;21;17;ab;18;19;20
48;0;1;2;7;3;8;10;12;ab;4;6;5;14;13;11;16;ab;9;15;21;17;ab;18;19;20
49;0;1;2;7;3;8;10;12;ab;4;6;5;14;13;11;16;ab;9;15;21;17;ab;18;19;20
50;0;1;2;7;3;8;10;12;ab;4;6;5;14;13;11;16;ab;9;15;21;17;ab;18;19;20
51;0;1;2;7;3;8;10;12;ab;4;6;5;14;13;11;16;ab;9;15;21;17;ab;18;19;20
52;0;1;2;7;3;8;10;12;ab;4;6;5;14;13;11;16;ab;9;15;21;17;ab;18;19;20
53;0;1;2;7;3;8;10;12;ab;4;6;5;14;13;11;16;ab;9;15;21;17;ab;18;19;ab
54;0;1;2;7;3;8;10;12;ab;4;6;5;14;13;11;16;ab;9;15;21;17;ab;18;19;ab
