;sc;VET;WEB;ALO;ROS;BUT;HAM;MAS;KUB;MSC;SUT;BAR;ALG;BUE;PET;KOB;HUL;DLR;LIU;GLO;TRU;KOV;DGR;SEN;CHA
33;0;6;11;5;2;1;3;10;4;9;8;12;13;ab;7;ab;15;ab;ab;np;ab;14;ab;16;17
34;0;6;12;5;2;1;3;10;4;9;8;11;13;ab;7;ab;15;ab;ab;np;ab;14;ab;16;17
35;0;6;12;5;2;1;3;9;4;10;8;11;13;ab;7;ab;15;ab;ab;np;ab;14;ab;16;17
36;0;6;11;4;2;1;3;9;5;12;8;10;13;ab;7;ab;15;ab;ab;np;ab;14;ab;16;17
37;0;7;10;3;2;1;4;9;6;11;8;13;12;ab;5;ab;15;ab;ab;np;ab;14;ab;16;17
38;0;6;7;4;3;1;2;11;5;8;13;12;9;ab;10;ab;15;ab;ab;np;ab;14;ab;16;17
39;0;6;7;4;3;1;2;11;5;8;13;12;9;ab;10;ab;15;ab;ab;np;ab;14;ab;16;17
40;0;6;7;4;3;1;2;11;5;8;13;12;9;ab;10;ab;15;ab;ab;np;ab;14;ab;16;17
41;0;6;7;4;3;1;2;11;5;8;13;12;9;ab;10;ab;15;ab;ab;np;ab;14;ab;16;17
42;0;6;7;4;3;1;2;11;5;8;13;12;9;ab;10;ab;15;ab;ab;np;ab;14;ab;16;17
43;0;6;7;4;3;1;2;11;5;8;12;13;9;ab;10;ab;15;ab;ab;np;ab;14;ab;16;17
44;0;6;7;4;3;1;2;10;5;8;12;13;11;ab;9;ab;15;ab;ab;np;ab;14;ab;16;17
45;0;6;7;4;3;1;2;10;5;8;11;12;13;ab;9;ab;15;ab;ab;np;ab;14;ab;16;17
46;0;6;7;4;3;1;2;10;5;8;11;12;13;ab;9;ab;15;ab;ab;np;ab;14;ab;16;17
47;0;6;7;4;3;1;2;10;5;8;11;12;13;ab;9;ab;15;ab;ab;np;ab;14;ab;16;17
48;0;6;7;4;3;1;2;10;5;8;11;12;13;ab;9;ab;15;ab;ab;np;ab;14;ab;16;17
49;0;6;7;4;3;1;2;10;5;8;11;12;13;ab;9;ab;15;ab;ab;np;ab;14;ab;16;17
50;0;6;7;4;3;1;2;10;5;9;11;12;13;ab;8;ab;15;ab;ab;np;ab;14;ab;16;17
51;0;6;7;4;3;1;2;10;5;9;11;12;13;ab;8;ab;15;ab;ab;np;ab;14;ab;16;17
52;0;6;7;4;3;1;2;10;5;9;11;12;13;ab;8;ab;15;ab;ab;np;ab;14;ab;16;17
53;0;6;8;4;3;1;2;10;5;9;11;12;13;ab;7;ab;15;ab;ab;np;ab;14;ab;16;17
54;0;6;8;4;3;1;2;9;5;10;11;12;13;ab;7;ab;15;ab;ab;np;ab;14;ab;16;17
55;0;6;8;4;3;1;2;9;5;10;11;12;13;ab;7;ab;15;ab;ab;np;ab;14;ab;16;17
