;sc;ROS;HAM;MAS;BOT;BUT;VET;MAG;ALO;RIC;RAI;GUT;HUL;SUT;GRO;VER;MAL;KVY;PER
61;0;1;2;3;10;4;5;8;7;ab;6;14;9;17;16;13;12;11;15
62;0;1;2;3;10;4;5;8;7;ab;6;14;9;17;16;13;12;11;15
63;0;1;2;3;10;4;5;8;7;ab;6;14;9;17;16;13;12;11;15
64;0;1;2;3;10;4;5;8;7;ab;6;14;9;16;17;13;12;11;15
65;0;1;2;3;10;4;5;8;7;ab;6;14;9;16;17;13;12;11;15
66;0;1;2;3;10;4;5;9;6;ab;7;14;8;16;17;13;12;11;15
67;0;1;2;3;10;4;5;9;6;ab;7;14;8;16;17;13;12;11;15
68;0;1;2;3;10;4;5;9;6;ab;7;14;8;16;17;13;12;11;15
69;0;1;2;3;10;4;5;9;6;ab;7;14;8;16;17;13;12;11;15
70;0;1;2;3;10;4;5;9;6;ab;7;14;8;16;17;13;12;11;15
