;sc;ALO;RAI;MSC;MAS;FIS;BAR;RSC;MON;HEI;VIL;COU;ROS;LIU;KLI;SPE;MTR;WEB;ALB;BUT;MTG;SAT;TRU
17;0;1;2;5;3;4;8;ab;7;6;10;11;9;12;13;ab;14;ab;15;ab;18;17;16
18;0;1;2;7;4;3;9;ab;6;5;10;11;8;12;13;ab;14;ab;15;ab;18;17;16
19;0;1;4;6;7;2;13;ab;5;3;9;10;8;11;12;ab;14;ab;15;ab;18;17;16
20;0;1;4;5;6;2;13;ab;10;3;8;9;7;11;12;ab;14;ab;15;ab;18;17;16
21;0;1;3;4;6;5;13;ab;10;2;8;9;7;11;12;ab;16;ab;14;ab;17;18;15
22;0;1;3;4;6;5;13;ab;10;2;8;9;7;11;12;ab;16;ab;14;ab;17;18;15
23;0;1;3;4;6;5;13;ab;10;2;8;9;7;11;12;ab;16;ab;14;ab;18;17;15
24;0;1;3;4;6;5;13;ab;9;2;7;10;8;11;12;ab;16;ab;15;ab;18;17;14
25;0;1;2;3;5;4;12;ab;7;8;6;14;11;9;10;ab;16;ab;15;ab;18;17;13
26;0;1;2;3;5;4;12;ab;7;8;6;14;9;10;11;ab;16;ab;15;ab;18;17;13
27;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
28;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
29;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
30;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
31;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
32;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
33;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
34;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
35;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
36;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;13;ab;16;ab;15;ab;18;17;11
37;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;11;ab;16;ab;15;ab;18;17;13
38;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;11;ab;16;ab;15;ab;18;17;13
39;0;1;2;3;5;4;10;ab;6;7;9;12;8;14;11;ab;16;ab;15;ab;18;17;13
40;0;1;2;3;5;4;10;ab;6;7;9;11;8;14;13;ab;16;ab;15;ab;17;18;12
41;0;1;2;5;4;3;10;ab;6;7;9;11;8;13;14;ab;16;ab;15;ab;18;17;12
42;0;1;5;4;3;2;10;ab;6;7;9;11;8;13;14;ab;16;ab;15;ab;18;17;12
43;0;1;5;4;3;2;10;ab;6;7;9;11;8;13;14;ab;16;ab;15;ab;18;17;12
44;0;2;5;4;3;1;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
45;0;1;3;2;5;4;10;ab;8;6;7;12;9;13;14;ab;16;ab;15;ab;18;17;11
46;0;1;3;2;5;4;10;ab;7;8;6;12;9;13;14;ab;16;ab;15;ab;18;17;11
47;0;1;3;2;5;4;10;ab;6;8;7;12;9;13;14;ab;16;ab;15;ab;18;17;11
48;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
49;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
50;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
51;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
52;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
53;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
54;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
55;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
56;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;18;17;11
57;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;ab;17;11
58;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;ab;17;11
59;0;1;3;2;5;4;10;ab;6;7;8;12;9;13;14;ab;16;ab;15;ab;ab;17;11
