;sc;MSC;MAS;FIS;BAR;ALO;VIL;BUT;RSC;RAI;HEI;MON;WEB;SPE;ALB;MTR;KLI;COU;SAT;MTG;LIU;ROS;TRU
56;0;1;2;3;7;6;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;9;10;4
57;0;1;2;3;7;6;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;9;10;4
58;0;1;2;3;7;6;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;9;10;4
59;0;1;2;3;7;6;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;9;10;4
60;0;1;2;3;7;6;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;9;10;4
61;0;1;2;3;7;6;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;9;10;4
62;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
63;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
64;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
65;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
66;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
67;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
68;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
69;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
70;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
71;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
72;0;1;2;3;6;5;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;ab;7;ab;ab;8;9;4
