;sc;VET;BUT;HAM;MAS;ALO;WEB;KOB;MSC;SEN;PET;SUT;DRE;BAR;MAL;BUE;ALG;PER;KOV;TRU;DAM;GLO;RIC;ROS;LIU
31;0;2;1;6;5;3;4;13;7;19;12;10;9;14;16;ab;15;8;17;18;20;21;22;11;23
32;0;3;1;6;5;2;4;13;7;19;12;10;9;14;15;ab;16;8;17;18;20;21;22;11;23
33;0;10;1;4;3;2;5;13;6;19;12;9;8;14;15;ab;16;7;17;18;20;21;22;11;23
34;0;9;1;4;3;2;11;13;5;19;12;8;7;14;15;ab;16;6;17;18;20;21;22;10;23
35;0;6;1;10;3;2;8;12;4;19;11;7;16;13;14;ab;15;5;17;18;20;22;21;9;23
36;0;4;3;9;8;1;6;12;2;19;11;10;15;14;13;ab;18;5;17;16;20;22;21;7;23
37;0;4;2;7;8;3;5;10;1;18;9;14;12;16;11;ab;17;13;19;15;22;21;20;6;23
38;0;4;2;7;8;3;5;10;1;17;9;14;13;16;11;ab;15;12;18;19;21;20;22;6;23
39;0;4;2;7;8;3;5;9;1;17;14;13;12;16;11;ab;15;10;18;19;21;20;22;6;23
40;0;4;1;6;7;3;5;10;2;17;14;12;11;16;13;ab;15;9;18;19;21;20;22;8;23
41;0;3;1;5;7;2;4;9;6;16;12;11;10;15;17;ab;14;8;18;19;21;20;22;13;23
42;0;3;1;5;7;2;4;9;6;16;12;11;10;15;17;ab;14;8;18;19;21;20;22;13;23
43;0;3;1;5;7;2;4;9;6;16;12;10;11;15;17;ab;14;8;18;19;21;20;22;13;23
44;0;3;1;5;7;2;4;10;6;15;12;9;11;17;16;ab;14;8;18;19;21;20;22;13;23
45;0;3;1;5;7;2;4;10;6;16;11;9;13;17;15;ab;14;8;18;19;21;20;22;12;23
46;0;3;1;5;7;2;4;12;6;16;10;9;13;17;15;ab;14;8;18;19;21;20;22;11;23
47;0;3;1;5;7;2;4;12;6;16;10;9;13;17;15;ab;14;8;18;19;21;20;22;11;23
48;0;3;1;5;7;2;4;13;6;16;9;11;12;17;15;ab;14;8;18;19;21;20;22;10;23
49;0;3;1;5;7;2;4;13;6;16;9;11;12;17;15;ab;14;8;18;19;21;20;22;10;23
50;0;3;1;5;7;2;4;13;6;16;9;11;12;17;15;ab;14;8;18;19;21;20;22;10;23
51;0;3;1;5;7;2;4;13;6;16;9;11;12;17;15;ab;14;8;18;19;21;20;22;10;23
52;0;3;1;5;7;2;4;13;6;16;9;11;12;17;14;ab;15;8;18;19;21;20;22;10;23
