;sc;VET;BUT;WEB;ALO;MSC;MAS;ROS;MAL;HAM;PET;BAR;KOB;DRE;SUT;HEI;BUE;KOV;TRU;ALG;GLO;DAM;KAR;LIU
33;1;1;2;6;3;ab;ab;15;8;7;9;12;5;18;4;10;11;16;14;13;ab;17;20;19
34;1;1;2;6;3;ab;ab;15;8;7;9;12;5;18;4;10;11;16;14;13;ab;17;20;19
35;1;1;2;6;3;ab;ab;15;8;7;9;12;5;18;4;10;11;16;14;13;ab;17;20;19
36;1;1;2;6;3;ab;ab;15;8;7;9;12;5;18;4;10;11;16;14;13;ab;17;20;19
37;1;1;2;6;3;ab;ab;15;8;7;9;12;5;18;4;10;11;16;14;13;ab;17;20;19
38;0;1;2;6;3;ab;ab;15;8;7;9;12;5;18;4;10;11;16;14;13;ab;17;20;19
39;0;1;2;6;3;ab;ab;15;8;7;9;12;5;18;4;10;11;16;14;13;ab;17;20;19
40;0;1;2;6;3;ab;ab;15;8;7;9;12;5;18;4;10;11;16;14;13;ab;17;20;19
41;0;1;2;6;3;ab;ab;15;8;7;9;12;5;18;4;10;11;16;14;13;ab;17;20;19
42;0;1;2;6;3;ab;ab;15;7;9;8;12;5;18;4;10;11;16;14;13;ab;17;20;19
43;0;1;2;6;3;ab;ab;15;7;9;8;12;5;18;4;10;11;16;14;13;ab;17;20;19
44;0;1;2;6;3;ab;ab;15;7;9;8;12;5;18;4;10;11;16;14;13;ab;17;20;19
45;0;1;2;6;3;ab;ab;14;7;9;8;12;5;17;4;10;11;15;18;13;ab;16;20;19
46;0;1;2;6;3;ab;ab;14;7;9;8;12;5;17;4;10;11;15;18;13;ab;16;20;19
47;0;1;3;6;2;ab;ab;14;7;9;8;12;5;16;4;10;11;15;18;13;ab;17;20;19
48;0;1;3;6;2;ab;ab;14;7;9;8;12;5;16;4;10;11;15;18;13;ab;17;20;19
49;0;1;3;6;2;ab;ab;14;7;9;8;12;5;15;4;10;11;16;18;13;ab;17;20;19
50;0;1;3;6;2;ab;ab;14;7;9;8;12;5;15;4;10;11;16;18;13;ab;17;20;19
51;0;1;3;6;2;ab;ab;14;7;9;8;12;5;15;4;10;11;18;17;13;ab;16;20;19
52;0;1;3;6;2;ab;ab;14;7;9;8;12;5;15;4;10;11;18;17;13;ab;16;20;19
53;0;1;3;6;2;ab;ab;14;8;9;7;12;5;15;4;10;11;18;17;13;ab;16;20;19
54;0;1;3;7;2;ab;ab;14;8;9;6;12;5;15;4;10;11;18;17;13;ab;16;20;19
55;0;1;3;7;2;ab;ab;14;8;9;6;12;5;15;4;10;11;18;17;13;ab;16;20;19
56;0;1;3;7;2;ab;ab;13;8;9;6;12;5;15;4;10;11;18;17;14;ab;16;20;19
57;0;1;3;7;2;ab;ab;13;8;9;6;12;5;15;4;10;11;18;17;14;ab;16;20;19
58;0;1;3;7;2;ab;ab;13;8;9;6;12;5;15;4;10;11;18;17;14;ab;16;20;19
59;0;1;3;7;2;ab;ab;13;8;9;6;12;5;15;4;10;11;18;17;14;ab;16;20;19
60;0;1;3;7;2;ab;ab;13;8;9;6;12;5;15;4;10;11;18;17;14;ab;16;20;19
61;0;1;3;7;2;ab;ab;13;8;9;6;11;5;15;4;10;12;17;16;14;ab;18;20;19
62;0;1;3;7;2;ab;ab;13;8;9;6;11;5;15;4;10;12;17;16;14;ab;18;20;19
63;0;1;3;7;2;ab;ab;13;8;9;6;11;5;15;4;10;12;17;16;14;ab;18;20;19
64;0;1;3;7;2;ab;ab;13;8;9;6;11;4;15;5;10;12;17;16;14;ab;18;20;19
65;0;1;3;5;2;ab;ab;14;8;9;7;11;4;15;6;10;13;17;16;12;ab;18;20;19
66;0;1;3;5;2;ab;ab;13;8;9;7;11;4;14;6;10;12;16;15;ab;ab;17;19;18
67;0;1;3;5;2;ab;ab;12;6;7;ab;10;4;13;8;9;11;15;14;ab;ab;16;18;17
68;1;1;3;5;2;ab;ab;12;6;7;ab;10;4;13;8;9;11;15;14;ab;ab;16;18;17
69;1;1;3;5;2;ab;ab;12;6;7;ab;10;4;13;8;9;11;15;14;ab;ab;16;18;17
70;1;1;3;5;2;ab;ab;12;6;7;ab;10;4;13;8;9;11;15;14;ab;ab;16;18;17
71;1;1;3;5;2;ab;ab;12;6;7;ab;10;4;13;8;9;11;15;14;ab;ab;16;18;17
72;1;1;3;5;2;ab;ab;12;6;7;ab;10;4;13;8;9;11;15;14;ab;ab;16;18;17
73;0;1;3;5;2;ab;ab;11;18;6;ab;9;4;12;7;8;10;14;13;ab;ab;15;17;16
74;0;1;3;5;2;ab;ab;11;18;6;ab;9;4;12;7;8;10;14;13;ab;ab;15;ab;16
75;0;1;3;5;2;ab;ab;11;18;6;ab;9;4;12;7;8;10;14;13;ab;ab;15;ab;16
76;0;1;3;4;2;ab;ab;11;18;6;ab;9;5;12;7;8;10;14;13;ab;ab;15;ab;16
77;0;1;3;4;2;ab;ab;11;18;6;ab;9;5;12;7;8;10;14;13;ab;ab;15;ab;16
