;sc;ROS;HAM;VET;BOT;SAI;VER;RAI;KVY;MAS;RIC;GRO;MAL;ALO;BUT;NAS;ERI;HUL;PER;MER;STE
37;0;1;4;2;3;10;15;5;9;6;7;8;13;ab;17;11;12;14;16;19;18
38;0;1;3;2;4;9;15;5;12;6;7;8;13;ab;17;11;10;14;16;19;18
39;0;1;3;2;4;9;14;5;11;6;7;8;12;ab;17;15;10;13;16;19;18
40;0;1;2;4;3;8;14;5;10;6;7;11;12;ab;17;15;9;13;16;19;18
41;0;1;2;4;3;8;14;6;10;5;7;11;12;ab;17;15;9;13;16;19;18
42;0;1;2;3;4;13;11;6;10;5;7;9;14;ab;17;15;8;12;16;19;18
43;0;1;2;3;4;13;11;6;10;5;7;9;17;ab;16;14;8;12;15;19;18
44;0;1;2;3;4;13;11;6;9;5;7;8;16;ab;17;14;10;12;15;19;18
45;0;2;1;3;4;11;10;6;9;5;7;8;ab;ab;16;13;15;12;14;18;17
46;0;2;1;3;4;11;10;5;9;6;7;8;ab;ab;16;13;15;12;14;18;17
47;0;2;1;3;4;11;10;5;9;6;7;8;ab;ab;16;13;15;12;14;18;17
48;0;2;1;3;4;11;10;5;9;6;7;8;ab;ab;16;12;15;13;14;18;17
49;0;2;1;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
50;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
51;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
52;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
53;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
54;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
55;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
56;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
57;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
58;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
59;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
60;0;1;2;3;4;11;10;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
61;0;1;2;3;4;10;11;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
62;0;1;2;3;4;10;11;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
63;0;1;2;3;4;10;11;5;9;6;7;8;ab;ab;16;12;14;15;13;18;17
64;0;1;2;3;4;9;11;5;10;6;7;8;ab;ab;16;12;14;15;13;18;17
65;0;1;2;3;4;9;11;5;10;6;7;8;ab;ab;16;12;14;15;13;18;17
